w(cm-1), IM(w)_xx, IM(w)_yy, IM(w)_zz, IM(w)_xy, IM(w)_xz, IM(w)_yz
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.2284691961, 1.69163658198e-08, 2.60601181868e-07, 3.04327414362e-07, 0.0, 0.0, 0.0
0.4569383922, 3.3833022046e-08, 5.21212275821e-07, 6.08670023751e-07, 0.0, 0.0, 0.0
0.6854075883, 5.07502591093e-08, 7.81843195141e-07, 9.13043025274e-07, 0.0, 0.0, 0.0
0.9138767844, 6.76683674893e-08, 1.04250385552e-06, 1.21746162021e-06, 0.0, 0.0, 0.0
1.1423459805, 8.45876377389e-08, 1.30320417624e-06, 1.52194101607e-06, 0.0, 0.0, 0.0
1.3708151766, 1.01508360508e-07, 1.56395408141e-06, 1.82649642872e-06, 0.0, 0.0, 0.0
1.5992843727, 1.1843082657e-07, 1.82476350114e-06, 2.13114308444e-06, 0.0, 0.0, 0.0
1.8277535688, 1.35355326844e-07, 2.08564237276e-06, 2.43589622203e-06, 0.0, 0.0, 0.0
2.0562227649, 1.52282152419e-07, 2.34660064202e-06, 2.74077109487e-06, 0.0, 0.0, 0.0
2.284691961, 1.69211594582e-07, 2.60764826429e-06, 3.04578297309e-06, 0.0, 0.0, 0.0
2.5131611571, 1.86143944838e-07, 2.86879520583e-06, 3.35094714557e-06, 0.0, 0.0, 0.0
2.7416303532, 2.03079494938e-07, 3.13005144491e-06, 3.65627892216e-06, 0.0, 0.0, 0.0
2.9700995493, 2.20018536902e-07, 3.39142697311e-06, 3.9617936357e-06, 0.0, 0.0, 0.0
3.1985687454, 2.36961363043e-07, 3.65293179649e-06, 4.26750664417e-06, 0.0, 0.0, 0.0
3.4270379415, 2.53908265996e-07, 3.91457593683e-06, 4.57343333284e-06, 0.0, 0.0, 0.0
3.6555071376, 2.70859538736e-07, 4.17636943287e-06, 4.87958911636e-06, 0.0, 0.0, 0.0
3.8839763337, 2.8781547461e-07, 4.43832234152e-06, 5.18598944094e-06, 0.0, 0.0, 0.0
4.1124455298, 3.04776367354e-07, 4.70044473913e-06, 5.49264978645e-06, 0.0, 0.0, 0.0
4.3409147259, 3.21742511128e-07, 4.96274672267e-06, 5.79958566863e-06, 0.0, 0.0, 0.0
4.569383922, 3.38714200531e-07, 5.22523841104e-06, 6.10681264121e-06, 0.0, 0.0, 0.0
4.7978531181, 3.55691730633e-07, 5.4879299463e-06, 6.41434629812e-06, 0.0, 0.0, 0.0
5.0263223142, 3.72675396998e-07, 5.75083149491e-06, 6.72220227564e-06, 0.0, 0.0, 0.0
5.2547915103, 3.8966549571e-07, 6.01395324901e-06, 7.03039625465e-06, 0.0, 0.0, 0.0
5.4832607064, 4.06662323397e-07, 6.27730542768e-06, 7.33894396278e-06, 0.0, 0.0, 0.0
5.7117299025, 4.23666177256e-07, 6.54089827824e-06, 7.64786117668e-06, 0.0, 0.0, 0.0
5.9401990986, 4.40677355084e-07, 6.80474207748e-06, 7.95716372422e-06, 0.0, 0.0, 0.0
6.1686682947, 4.57696155297e-07, 7.06884713302e-06, 8.26686748676e-06, 0.0, 0.0, 0.0
